,birth_country,birth_city,Lat,Lon
0,Australia,Melbourne,-37.8142454,144.9631732
1,Austria,Klagenfurt,46.623943,14.3075976
2,Belgium,Brussels,50.8465573,4.351697
3,Benin,Cotonou,6.3676953,2.4252507
4,Brazil,Rio de Janeiro,-22.9110137,-43.2093727
5,Canada,Vancouver,49.2608724,-123.113952
6,Channel Islands,Jersey,49.2214561,-2.1358386
7,China,Beijing,39.9057136,116.3912972
8,Cuba,Santiago de Cuba,20.0214637,-75.8294928
9,Denmark,Copenhagen,55.6867243,12.5700724
10,France,Paris,48.8534951,2.3483915
11,French Polynesia,Tahiti,-17.68734395,-149.44516811423745
12,Germany,Cologne,50.938361,6.959974
13,Hong Kong,Hong Kong,22.381131,114.135572
14,India,Mumbai,19.0785451,72.878176
15,Iran,Tehran,35.6892523,51.3896004
16,Ireland,Dublin,53.3493795,-6.2605593
17,Israel,Jerusalem,31.7788242,35.2257626
18,Italy,Rome,41.8933203,12.4829321
19,Japan,Tokyo,35.6840574,139.7744912
20,Kenya,Nairobi,-1.2832533,36.8172449
21,Lebanon,Beirut,33.8959203,35.47843
22,Malaysia,Ipoh,4.5986817,101.0900236
23,Mexico,Mexico City,19.4326296,-99.1331785
24,Morocco,Casablanca,33.5945144,-7.6200284
25,Netherlands,The Hague,52.0799838,4.3113461
26,New Zealand,Wellington,-41.2887953,174.7772114
27,Nigeria,Ibadan,7.3777462,3.8972497
28,Oman,Muscat,23.5882019,58.3829448
29,Panama,Panama,8.559559,-81.1308434
30,Poland,Warsaw,52.2319581,21.0067249
31,Portugal,Lisbon,38.7077507,-9.1365919
32,Puerto Rico,San Juan,18.465299,-66.116666
33,Romania,Constanta,44.1767161,28.6507598
34,Russia,Leningrad,59.938732,30.316229
35,Singapore,Singapore,1.357107,103.8194992
36,Slovenia,Ljubljana,46.0500268,14.5069289
37,South Africa,Benoni,-26.1930356,28.3082376
38,South Korea,Seoul,37.5666791,126.9782914
39,Spain,Las Palmas de Gran Canaria,28.1288694,-15.4349015
40,Swaziland,Mbabane,-26.325745,31.144663
41,Sweden,Stockholm,59.3251172,18.0710935
42,Switzerland,Bern,46.9484742,7.4521749
43,Trinidad and Tobago,Trinidad,-14.8349438,-64.9044936
44,UK,London,51.5073359,-0.12765
45,USA,New York,40.7127281,-74.0060152
46,Ukraine,Chernivtsi,48.2864702,25.9376532
47,Venezuela,Caracas,10.5060934,-66.9146008
48,Virgin Islands of the United States,St. Thomas,18.338097,-64.894095
49,Yugoslavia,Bunic,44.6711994,15.6108885
